Gene	Cytoband	(A) FLT3 mutation	(B) FLT3 non mutation	(A) FLT3 mutation	(B) FLT3 non mutation	Log Ratio	p-Value	q-Value	Higher expression in
PLCG1	20q12	2.21	3.03	0.91	1.12	-0.82	3.029e-6	2.529e-4	(B) FLT3 non mutation
FMO3	1q24.3	0.21	0.59	0.36	0.66	-0.38	3.035e-6	2.529e-4	(B) FLT3 non mutation
OR2H2	6p22.1	0.06	0.18	0.09	0.25	-0.13	3.077e-6	2.550e-4	(B) FLT3 non mutation
TMEM119	12q23.3	0.28	0.57	0.26	0.53	-0.29	3.087e-6	2.550e-4	(B) FLT3 non mutation
MIXL1	1q42.12	0.21	0.44	0.22	0.39	-0.23	3.143e-6	2.585e-4	(B) FLT3 non mutation
FAM47E	4q21.1	1.11	0.25	1.11	0.43	0.86	3.198e-6	2.619e-4	(A) FLT3 mutation
DKK3	11p15.3	0.06	0.12	0.05	0.11	-0.06	3.373e-6	2.752e-4	(B) FLT3 non mutation
TRIB2	2p24.3	1.31	2.08	0.88	1.05	-0.77	3.392e-6	2.755e-4	(B) FLT3 non mutation
SNORD116-13	15q11.2	0.35	0.80	0.49	0.66	-0.45	3.471e-6	2.808e-4	(B) FLT3 non mutation
HOXB3	17q21.32	4.48	2.61	2.25	2.11	1.87	3.521e-6	2.836e-4	(A) FLT3 mutation
COL16A1	1p35.2	0.07	0.22	0.11	0.30	-0.15	3.539e-6	2.839e-4	(B) FLT3 non mutation
HOXB4	17q21.32	3.93	2.31	1.95	1.82	1.62	3.638e-6	2.907e-4	(A) FLT3 mutation
ADPGK	15q24.1	5.48	5.26	0.23	0.32	0.21	3.672e-6	2.922e-4	(A) FLT3 mutation
IDH1	2q34	5.71	5.16	0.64	0.67	0.54	3.701e-6	2.933e-4	(A) FLT3 mutation
FLT3	13q12.2	6.99	6.34	0.51	1.29	0.65	3.809e-6	3.006e-4	(A) FLT3 mutation
SNORD116-27	15q11.2	0.11	0.37	0.26	0.42	-0.26	3.832e-6	3.012e-4	(B) FLT3 non mutation
CDR1	Xq27.1	0.03	0.13	0.07	0.21	-0.10	3.875e-6	3.034e-4	(B) FLT3 non mutation
ZNF804A	2q32.1	2.49	1.76	0.81	1.06	0.73	4.000e-6	3.119e-4	(A) FLT3 mutation
TOMM40L	1q23.3	3.26	2.95	0.37	0.39	0.31	4.176e-6	3.242e-4	(A) FLT3 mutation
CCDC113	16q21	0.88	0.45	0.54	0.33	0.42	4.191e-6	3.242e-4	(A) FLT3 mutation
SEC14L3	22q12.2	0.08	0.27	0.13	0.40	-0.19	4.213e-6	3.246e-4	(B) FLT3 non mutation
BCAR3	1p22.1	0.54	0.95	0.48	0.55	-0.41	4.283e-6	3.275e-4	(B) FLT3 non mutation
NFIX	19p13.13	4.44	3.54	1.13	0.85	0.90	4.283e-6	3.275e-4	(A) FLT3 mutation
CHL1	3p26.3	0.16	0.47	0.30	0.52	-0.30	4.320e-6	3.289e-4	(B) FLT3 non mutation
APOB	2p24.1	0.01	0.08	0.03	0.17	-0.07	4.338e-6	3.290e-4	(B) FLT3 non mutation
LYRM1	16p12.3	3.67	3.07	0.77	0.52	0.61	4.392e-6	3.319e-4	(A) FLT3 mutation
SNORD116-20	15q11.2	0.68	1.31	0.74	0.80	-0.62	4.520e-6	3.402e-4	(B) FLT3 non mutation
GRIK4	11q23.3	0.02	0.07	0.04	0.10	-0.05	4.556e-6	3.414e-4	(B) FLT3 non mutation
SMAGP	12q13.13	1.40	1.97	0.66	0.73	-0.56	4.570e-6	3.414e-4	(B) FLT3 non mutation
PGD	1p36.22	7.34	6.92	0.49	0.58	0.42	4.612e-6	3.431e-4	(A) FLT3 mutation
NLRP9	19q13.42	0.33	0.47	0.15	0.23	-0.14	4.670e-6	3.461e-4	(B) FLT3 non mutation
XCL2	1q24.2	0.53	0.94	0.41	0.68	-0.40	4.749e-6	3.507e-4	(B) FLT3 non mutation
SLC6A18	5p15.33	0.00	0.02	0.01	0.03	-0.01	4.840e-6	3.560e-4	(B) FLT3 non mutation
ACKR1	1q23.2	0.37	0.89	0.47	0.98	-0.52	4.956e-6	3.632e-4	(B) FLT3 non mutation
TRAT1	3q13.13	1.76	2.74	1.15	1.27	-0.98	5.022e-6	3.665e-4	(B) FLT3 non mutation
LINC00597	15q23-q24	0.94	1.27	0.37	0.52	-0.34	5.039e-6	3.665e-4	(B) FLT3 non mutation
ARID3B	15q24.1	2.73	2.25	0.62	0.44	0.48	5.184e-6	3.757e-4	(A) FLT3 mutation
PITPNM3	17p13.2-p13.1	0.16	0.26	0.11	0.17	-0.10	5.396e-6	3.896e-4	(B) FLT3 non mutation
SCGB1C1	11p15.5	0.09	0.23	0.12	0.28	-0.14	5.451e-6	3.903e-4	(B) FLT3 non mutation
SELENOM	22q12.2	0.65	1.13	0.52	0.73	-0.48	5.478e-6	3.903e-4	(B) FLT3 non mutation
AOC3	17q21.31	0.32	0.54	0.24	0.34	-0.22	5.482e-6	3.903e-4	(B) FLT3 non mutation
MFRP	11q23.3	0.05	0.19	0.10	0.27	-0.13	5.486e-6	3.903e-4	(B) FLT3 non mutation
PARM1	4q13.3	0.42	0.81	0.44	0.55	-0.38	5.508e-6	3.904e-4	(B) FLT3 non mutation
AMOTL2	3q22.2	0.13	0.35	0.17	0.43	-0.21	5.594e-6	3.951e-4	(B) FLT3 non mutation
LRRC2	3p21.31	0.12	0.33	0.18	0.42	-0.22	5.695e-6	3.998e-4	(B) FLT3 non mutation
TLE2	19p13.3	0.32	0.59	0.27	0.48	-0.27	5.702e-6	3.998e-4	(B) FLT3 non mutation
KIF5A	12q13.3	0.06	0.29	0.09	0.53	-0.23	5.732e-6	4.003e-4	(B) FLT3 non mutation
ADAMTS9	3p14.1	0.08	0.29	0.17	0.40	-0.20	5.750e-6	4.003e-4	(B) FLT3 non mutation
EGFLAM	5p13.2-p13.1	0.01	0.06	0.03	0.11	-0.05	5.798e-6	4.006e-4	(B) FLT3 non mutation
FBLIM1	1p36.21	0.15	0.36	0.18	0.41	-0.21	5.808e-6	4.006e-4	(B) FLT3 non mutation
BMAL2		2.33	1.73	0.67	0.90	0.60	5.816e-6	4.006e-4	(A) FLT3 mutation
CRYAB	11q23.1	0.10	0.24	0.11	0.30	-0.15	5.888e-6	4.041e-4	(B) FLT3 non mutation
ASB13	10p15.1	3.45	3.03	0.51	0.53	0.42	6.067e-6	4.150e-4	(A) FLT3 mutation
FAM171A1	10p13	0.48	1.46	1.06	1.56	-0.98	6.103e-6	4.160e-4	(B) FLT3 non mutation
CCNA1	13q13.3	4.46	3.07	1.59	2.02	1.39	6.206e-6	4.215e-4	(A) FLT3 mutation
VIM	10p13	10.34	9.61	0.75	1.21	0.72	6.229e-6	4.216e-4	(A) FLT3 mutation
DNASE1L3	3p14.3	0.34	0.84	0.54	0.78	-0.49	6.414e-6	4.326e-4	(B) FLT3 non mutation
IL2RB	22q12.3	2.19	3.02	0.97	1.15	-0.83	6.458e-6	4.326e-4	(B) FLT3 non mutation
NRP2	2q33.3	0.16	0.43	0.25	0.51	-0.27	6.458e-6	4.326e-4	(B) FLT3 non mutation
PDGFRL	8p22	0.03	0.11	0.05	0.17	-0.08	6.624e-6	4.422e-4	(B) FLT3 non mutation
SALL2	14q11.2	0.23	0.57	0.33	0.64	-0.35	6.660e-6	4.431e-4	(B) FLT3 non mutation
SORBS2	4q35.1	0.01	0.06	0.03	0.10	-0.04	6.710e-6	4.449e-4	(B) FLT3 non mutation
ITIH5	10p14	0.05	0.17	0.10	0.23	-0.12	6.848e-6	4.521e-4	(B) FLT3 non mutation
ESR2	14q23.2-q23.3	0.24	0.44	0.16	0.42	-0.20	6.865e-6	4.521e-4	(B) FLT3 non mutation
MYCT1	6q25.2	0.36	1.14	0.70	1.52	-0.79	6.932e-6	4.550e-4	(B) FLT3 non mutation
C7	5p13.1	0.31	0.84	0.54	0.89	-0.52	7.032e-6	4.600e-4	(B) FLT3 non mutation
LBP	20q11.23	0.27	0.81	0.52	1.00	-0.54	7.092e-6	4.624e-4	(B) FLT3 non mutation
SLC41A1	1q32.1	1.41	2.17	0.87	1.16	-0.77	7.201e-6	4.679e-4	(B) FLT3 non mutation
GCH1	14q22.2	3.80	3.00	0.98	1.00	0.80	7.242e-6	4.690e-4	(A) FLT3 mutation
CD8A	2p11.2	1.49	2.22	0.90	0.93	-0.74	7.307e-6	4.705e-4	(B) FLT3 non mutation
SHB	9p13.1	0.88	1.19	0.34	0.49	-0.31	7.313e-6	4.705e-4	(B) FLT3 non mutation
DDR2	1q23.3	0.23	0.47	0.21	0.48	-0.25	7.400e-6	4.734e-4	(B) FLT3 non mutation
GPRC5D	12p13.1	0.25	0.60	0.32	0.65	-0.35	7.407e-6	4.734e-4	(B) FLT3 non mutation
TIGIT	3q13.31	0.85	1.30	0.54	0.63	-0.45	7.526e-6	4.795e-4	(B) FLT3 non mutation
PLEKHS1	10q25.3	0.07	0.20	0.12	0.25	-0.13	7.764e-6	4.930e-4	(B) FLT3 non mutation
PLA2G5	1p36.13	0.00	0.01	0.00	0.02	-0.01	7.920e-6	5.013e-4	(B) FLT3 non mutation
GNG11	7q21.3	0.91	1.89	1.09	1.56	-0.98	8.004e-6	5.049e-4	(B) FLT3 non mutation
SEMA3B	3p21.31	0.31	0.50	0.18	0.37	-0.20	8.037e-6	5.054e-4	(B) FLT3 non mutation
WFS1	4p16.1	0.50	1.08	0.65	0.93	-0.58	8.106e-6	5.081e-4	(B) FLT3 non mutation
IFITM2	11p15.5	6.91	7.57	0.84	0.78	-0.67	8.205e-6	5.126e-4	(B) FLT3 non mutation
LOXL2	8p21.3	0.52	0.73	0.20	0.37	-0.21	8.273e-6	5.143e-4	(B) FLT3 non mutation
TTC30B	2q31.2	1.80	1.41	0.52	0.40	0.40	8.284e-6	5.143e-4	(A) FLT3 mutation
HARS1	5q31.3	4.10	3.90	0.22	0.37	0.21	8.412e-6	5.206e-4	(A) FLT3 mutation
FAM178B	2q11.2	0.45	1.05	0.54	1.17	-0.60	8.505e-6	5.246e-4	(B) FLT3 non mutation
AGTR1	3q24	0.09	0.30	0.12	0.48	-0.21	8.706e-6	5.354e-4	(B) FLT3 non mutation
CDC42EP4	17q25.1	1.52	2.12	0.76	0.67	-0.60	8.899e-6	5.455e-4	(B) FLT3 non mutation
AHCY	20q11.22	5.64	5.27	0.45	0.53	0.38	9.183e-6	5.612e-4	(A) FLT3 mutation
WASF3	13q12.13	0.16	0.44	0.21	0.59	-0.28	9.290e-6	5.659e-4	(B) FLT3 non mutation
HAR1B	20q13.33	0.08	0.20	0.11	0.23	-0.12	9.405e-6	5.712e-4	(B) FLT3 non mutation
MMRN2	10q23.2	0.17	0.39	0.20	0.42	-0.22	9.511e-6	5.756e-4	(B) FLT3 non mutation
MGP	12p12.3	0.65	1.33	0.73	1.15	-0.68	9.537e-6	5.756e-4	(B) FLT3 non mutation
AK7	14q32.2	0.10	0.22	0.12	0.23	-0.12	9.620e-6	5.788e-4	(B) FLT3 non mutation
FLT1	13q12.3	0.10	0.24	0.11	0.29	-0.14	9.752e-6	5.849e-4	(B) FLT3 non mutation
LRP2BP	4q35.1	0.22	0.44	0.14	0.49	-0.22	9.840e-6	5.884e-4	(B) FLT3 non mutation
USP4	3p21.31	5.11	4.87	0.28	0.33	0.23	9.917e-6	5.912e-4	(A) FLT3 mutation
MLLT3	9p21.3	1.40	2.30	1.10	1.26	-0.91	9.992e-6	5.938e-4	(B) FLT3 non mutation
ANK2	4q25-q26	0.03	0.11	0.06	0.16	-0.08	1.004e-5	5.943e-4	(B) FLT3 non mutation
HOXB5	17q21.32	2.60	1.25	1.74	1.56	1.36	1.006e-5	5.943e-4	(A) FLT3 mutation
GLI3	7p14.1	0.06	0.26	0.09	0.47	-0.20	1.014e-5	5.970e-4	(B) FLT3 non mutation
KCNG2	18q23	0.91	1.34	0.47	0.69	-0.42	1.034e-5	6.070e-4	(B) FLT3 non mutation
OLFM1	9q34.3	0.03	0.13	0.06	0.22	-0.10	1.040e-5	6.086e-4	(B) FLT3 non mutation
ELAC2	17p12	4.34	4.12	0.25	0.36	0.22	1.046e-5	6.092e-4	(A) FLT3 mutation
PRSS16	6p22.1	0.08	0.22	0.09	0.31	-0.14	1.047e-5	6.092e-4	(B) FLT3 non mutation
LAMA4	6q21	0.12	0.34	0.21	0.43	-0.22	1.063e-5	6.167e-4	(B) FLT3 non mutation
ITGBL1	13q33.1	0.04	0.18	0.06	0.32	-0.14	1.075e-5	6.217e-4	(B) FLT3 non mutation
MAP4K4	2q11.2	3.95	4.54	0.79	0.46	-0.58	1.086e-5	6.262e-4	(B) FLT3 non mutation
PRKG2	4q21.21	0.15	0.54	0.19	0.89	-0.38	1.096e-5	6.304e-4	(B) FLT3 non mutation
EYA2	20q13.12	0.04	0.13	0.06	0.18	-0.08	1.111e-5	6.371e-4	(B) FLT3 non mutation
SCML4	6q21	0.79	1.32	0.64	0.74	-0.53	1.136e-5	6.497e-4	(B) FLT3 non mutation
COL3A1	2q32.2	0.34	0.89	0.59	0.97	-0.55	1.185e-5	6.741e-4	(B) FLT3 non mutation
SLC6A8	Xq28	0.90	1.48	0.63	1.00	-0.58	1.186e-5	6.741e-4	(B) FLT3 non mutation
AMACR	5p13.2	2.57	2.25	0.41	0.38	0.32	1.194e-5	6.765e-4	(A) FLT3 mutation
KRT1	12q13.13	0.25	0.69	0.43	0.84	-0.44	1.215e-5	6.863e-4	(B) FLT3 non mutation
LSR	19q13.12	1.39	1.84	0.50	0.75	-0.45	1.248e-5	7.013e-4	(B) FLT3 non mutation
CD27	12p13.31	2.62	3.11	0.60	0.71	-0.49	1.249e-5	7.013e-4	(B) FLT3 non mutation
FAM124A	13q14.3	0.97	0.35	0.85	0.44	0.61	1.252e-5	7.013e-4	(A) FLT3 mutation
BRSK2	11p15.5	0.17	0.28	0.11	0.21	-0.11	1.263e-5	7.052e-4	(B) FLT3 non mutation
UTP3	4q13.3	4.45	4.16	0.35	0.42	0.29	1.266e-5	7.053e-4	(A) FLT3 mutation
DAPL1	2q24.1	1.31	0.55	0.99	0.86	0.76	1.283e-5	7.125e-4	(A) FLT3 mutation
ADGRL1	19p13.12	2.11	2.69	0.70	0.85	-0.58	1.290e-5	7.142e-4	(B) FLT3 non mutation
LGI4	19q13.12	0.15	0.28	0.13	0.21	-0.12	1.294e-5	7.147e-4	(B) FLT3 non mutation
TBC1D29P	17q11.2	0.94	0.54	0.49	0.56	0.40	1.303e-5	7.147e-4	(A) FLT3 mutation
ARSG	17q24.2	0.87	1.28	0.47	0.67	-0.41	1.308e-5	7.147e-4	(B) FLT3 non mutation
STBD1	4q21.1	2.14	1.56	0.79	0.54	0.58	1.308e-5	7.147e-4	(A) FLT3 mutation
PEAR1	1q23.1	0.99	1.85	0.91	1.51	-0.85	1.309e-5	7.147e-4	(B) FLT3 non mutation
COL1A1	17q21.33	0.46	1.06	0.62	1.10	-0.60	1.313e-5	7.150e-4	(B) FLT3 non mutation
MXRA5	Xp22.33	0.10	0.34	0.24	0.48	-0.25	1.323e-5	7.184e-4	(B) FLT3 non mutation
AFAP1	4p16.1	0.29	0.62	0.37	0.56	-0.33	1.363e-5	7.379e-4	(B) FLT3 non mutation
BMP5	6p12.1	0.09	0.32	0.22	0.44	-0.23	1.392e-5	7.485e-4	(B) FLT3 non mutation
TRPC2	11p15.4	2.47	1.74	0.94	0.91	0.73	1.394e-5	7.485e-4	(A) FLT3 mutation
TMEM240	1p36.33	0.17	0.28	0.12	0.18	-0.11	1.395e-5	7.485e-4	(B) FLT3 non mutation
JCHAIN	4q13.3	4.90	6.09	1.48	1.64	-1.19	1.398e-5	7.485e-4	(B) FLT3 non mutation
STAG3	7q22.1	1.41	1.81	0.44	0.69	-0.40	1.410e-5	7.532e-4	(B) FLT3 non mutation
DOCK9	13q32.3	0.46	0.84	0.41	0.66	-0.38	1.418e-5	7.545e-4	(B) FLT3 non mutation
ZNF185	Xq28	4.88	3.91	1.12	1.53	0.96	1.423e-5	7.545e-4	(A) FLT3 mutation
FSTL1	3q13.33	0.90	1.74	1.03	1.23	-0.84	1.424e-5	7.545e-4	(B) FLT3 non mutation
LRFN1	19q13.2	2.17	2.60	0.52	0.64	-0.43	1.444e-5	7.626e-4	(B) FLT3 non mutation
SLC47A1	17p11.2	0.14	0.36	0.18	0.48	-0.22	1.448e-5	7.628e-4	(B) FLT3 non mutation
SYNE2	14q23.2	0.99	1.56	0.67	0.90	-0.57	1.453e-5	7.634e-4	(B) FLT3 non mutation
SLC7A6OS	16q22.1	4.70	4.43	0.33	0.36	0.27	1.459e-5	7.646e-4	(A) FLT3 mutation
NUP62CL	Xq22.3	0.17	0.48	0.27	0.65	-0.31	1.491e-5	7.795e-4	(B) FLT3 non mutation
ASAP1	8q24.21-q24.22	3.92	4.42	0.60	0.74	-0.50	1.522e-5	7.933e-4	(B) FLT3 non mutation
FRK	6q22.1	0.01	0.06	0.02	0.13	-0.05	1.542e-5	8.013e-4	(B) FLT3 non mutation
GOLGA2P5	12q23.1	2.11	1.62	0.62	0.64	0.49	1.553e-5	8.025e-4	(A) FLT3 mutation
HOXA4	7p15.2	2.93	1.74	1.53	1.51	1.19	1.553e-5	8.025e-4	(A) FLT3 mutation
LDLRAD2	1p36.12	3.86	3.16	0.82	1.13	0.70	1.560e-5	8.025e-4	(A) FLT3 mutation
RYR3	15q13.3-q14	0.43	0.79	0.24	0.82	-0.36	1.560e-5	8.025e-4	(B) FLT3 non mutation
CTHRC1	8q22.3	0.76	1.20	0.43	0.87	-0.44	1.574e-5	8.075e-4	(B) FLT3 non mutation
UCA1	19p13.12	0.34	0.73	0.42	0.71	-0.39	1.585e-5	8.082e-4	(B) FLT3 non mutation
MAN1C1	1p36.11	1.01	1.50	0.60	0.73	-0.49	1.587e-5	8.082e-4	(B) FLT3 non mutation
SH3TC2	5q32	0.88	0.39	0.69	0.35	0.49	1.588e-5	8.082e-4	(A) FLT3 mutation
PLPP3	1p32.2	0.73	1.22	0.53	0.89	-0.49	1.605e-5	8.142e-4	(B) FLT3 non mutation
REEP1	2p11.2	0.08	0.15	0.09	0.13	-0.08	1.608e-5	8.142e-4	(B) FLT3 non mutation
SLC14A1	18q12.3	1.08	1.75	0.80	1.03	-0.67	1.626e-5	8.211e-4	(B) FLT3 non mutation
CCDC110	4q35.1	0.03	0.07	0.04	0.10	-0.04	1.647e-5	8.277e-4	(B) FLT3 non mutation
SYT6	1p13.2	0.02	0.11	0.03	0.23	-0.09	1.647e-5	8.277e-4	(B) FLT3 non mutation
BGN	Xq28	0.52	1.14	0.69	1.05	-0.62	1.671e-5	8.375e-4	(B) FLT3 non mutation
DGCR5	22q11.21	0.09	0.15	0.06	0.12	-0.06	1.709e-5	8.534e-4	(B) FLT3 non mutation
NIPAL4	5q33.3	0.12	0.23	0.12	0.20	-0.11	1.712e-5	8.534e-4	(B) FLT3 non mutation
P4HTM	3p21.31	3.57	3.19	0.46	0.59	0.38	1.716e-5	8.536e-4	(A) FLT3 mutation
SSPOP	7q36.1	0.50	0.79	0.33	0.50	-0.29	1.770e-5	8.780e-4	(B) FLT3 non mutation
NXPE4	11q23.2	0.03	0.13	0.04	0.24	-0.10	1.797e-5	8.877e-4	(B) FLT3 non mutation
TCHP	12q24.11	4.09	3.95	0.17	0.24	0.14	1.799e-5	8.877e-4	(A) FLT3 mutation
SLC7A6	16q22.1	5.00	4.67	0.43	0.45	0.33	1.840e-5	9.059e-4	(A) FLT3 mutation
TMEM53	1p34.1	3.82	3.52	0.38	0.42	0.30	1.895e-5	9.259e-4	(A) FLT3 mutation
TBXAS1	7q34	5.79	5.21	0.71	0.89	0.58	1.897e-5	9.259e-4	(A) FLT3 mutation
FNDC4	2p23.3	0.03	0.11	0.06	0.19	-0.08	1.899e-5	9.259e-4	(B) FLT3 non mutation
PCBD1	10q22.1	4.68	4.22	0.55	0.74	0.46	1.900e-5	9.259e-4	(A) FLT3 mutation
SCHIP1	3q25.33	3.15	1.97	1.56	1.43	1.18	1.924e-5	9.328e-4	(A) FLT3 mutation
RFTN1	3p24.3	4.24	3.87	0.44	0.59	0.37	1.925e-5	9.328e-4	(A) FLT3 mutation
CTTN	11q13.3	0.52	1.00	0.54	0.84	-0.48	1.928e-5	9.328e-4	(B) FLT3 non mutation
FMOD	1q32.1	0.17	0.46	0.31	0.54	-0.29	1.953e-5	9.422e-4	(B) FLT3 non mutation
ATG9B	7q36.1	0.35	0.58	0.25	0.43	-0.23	1.990e-5	9.563e-4	(B) FLT3 non mutation
FKBP10	17q21.2	0.31	0.69	0.38	0.75	-0.38	1.992e-5	9.563e-4	(B) FLT3 non mutation
CPT1C	19q13.33	0.03	0.11	0.04	0.18	-0.07	2.010e-5	9.629e-4	(B) FLT3 non mutation
DTHD1	4p14	0.26	0.50	0.24	0.45	-0.24	2.023e-5	9.654e-4	(B) FLT3 non mutation
SAMD3	6q23.1	0.96	1.49	0.65	0.81	-0.53	2.025e-5	9.654e-4	(B) FLT3 non mutation
ANKRD20A4P	9q13	0.05	0.16	0.07	0.26	-0.11	2.040e-5	9.700e-4	(B) FLT3 non mutation
ACTL8	1p36.13	0.01	0.08	0.03	0.17	-0.07	2.076e-5	9.846e-4	(B) FLT3 non mutation
NR1I2	3q13.33	1.63	1.13	0.63	0.72	0.50	2.081e-5	9.846e-4	(A) FLT3 mutation
ABCB6	2q35	2.64	3.05	0.47	0.72	-0.41	2.092e-5	9.875e-4	(B) FLT3 non mutation
PLN	6q22.31	0.41	0.67	0.29	0.50	-0.27	2.098e-5	9.879e-4	(B) FLT3 non mutation
GZMA	5q11.2	2.21	3.01	1.01	1.15	-0.80	2.115e-5	9.937e-4	(B) FLT3 non mutation
CIBAR1	8q22.1	2.16	1.60	0.77	0.63	0.57	2.135e-5	1.000e-3	(A) FLT3 mutation
PFKM	12q13.11	1.44	1.91	0.54	0.80	-0.47	2.159e-5	1.009e-3	(B) FLT3 non mutation
GSTA4	6p12.2	0.41	0.68	0.28	0.54	-0.27	2.175e-5	1.014e-3	(B) FLT3 non mutation
CDKL5	Xp22.13	0.59	0.93	0.39	0.62	-0.35	2.209e-5	1.027e-3	(B) FLT3 non mutation
ABCA8	17q24.2	0.06	0.26	0.13	0.46	-0.20	2.214e-5	1.027e-3	(B) FLT3 non mutation
TRPM5	11p15.5	0.06	0.12	0.04	0.14	-0.06	2.262e-5	1.047e-3	(B) FLT3 non mutation
CCL18	17q12	0.23	0.69	0.43	0.95	-0.46	2.272e-5	1.048e-3	(B) FLT3 non mutation
MACROH2A2	10q22.1	2.53	1.48	1.40	1.34	1.05	2.275e-5	1.048e-3	(A) FLT3 mutation
ZBP1	20q13.31	0.93	1.38	0.56	0.72	-0.46	2.286e-5	1.049e-3	(B) FLT3 non mutation
HOXB2	17q21.32	3.61	2.30	1.74	1.69	1.31	2.287e-5	1.049e-3	(A) FLT3 mutation
MACC1	7p21.1	1.94	1.10	1.13	0.97	0.83	2.337e-5	1.070e-3	(A) FLT3 mutation
MTUS1	8p22	0.14	0.28	0.12	0.28	-0.13	2.436e-5	1.112e-3	(B) FLT3 non mutation
CPN2	3q29	0.02	0.10	0.06	0.18	-0.08	2.448e-5	1.115e-3	(B) FLT3 non mutation
PALMD	1p21.2	0.06	0.21	0.09	0.36	-0.15	2.516e-5	1.144e-3	(B) FLT3 non mutation
FAM110D	1p36.11	0.05	0.14	0.08	0.19	-0.09	2.537e-5	1.150e-3	(B) FLT3 non mutation
ATP6V1B1	2p13.3	0.07	0.15	0.06	0.16	-0.07	2.578e-5	1.166e-3	(B) FLT3 non mutation
BCL2L2	14q11.2	3.69	3.46	0.29	0.35	0.23	2.585e-5	1.166e-3	(A) FLT3 mutation
SLCO5A1	8q13.3	0.36	1.02	0.74	1.19	-0.66	2.606e-5	1.173e-3	(B) FLT3 non mutation
SLC35B4	7q33	3.42	3.02	0.57	0.40	0.41	2.617e-5	1.175e-3	(A) FLT3 mutation
MIS12	17p13.2	3.68	3.41	0.36	0.35	0.27	2.622e-5	1.175e-3	(A) FLT3 mutation
GRK5	10q26.11	1.52	2.05	0.66	0.82	-0.53	2.657e-5	1.186e-3	(B) FLT3 non mutation
GAL3ST3	11q13.1	0.03	0.08	0.04	0.11	-0.05	2.659e-5	1.186e-3	(B) FLT3 non mutation
PLVAP	19p13.11	0.66	1.18	0.57	0.97	-0.52	2.684e-5	1.193e-3	(B) FLT3 non mutation
SOBP	6q21	0.06	0.19	0.07	0.31	-0.13	2.687e-5	1.193e-3	(B) FLT3 non mutation
TEK	9p21.2	0.25	0.54	0.23	0.67	-0.29	2.750e-5	1.219e-3	(B) FLT3 non mutation
FAM149A	4q35.1	0.03	0.07	0.03	0.10	-0.04	2.827e-5	1.248e-3	(B) FLT3 non mutation
MST1R	3p21.31	0.16	0.44	0.16	0.69	-0.28	2.829e-5	1.248e-3	(B) FLT3 non mutation
NTRK2	9q21.33	0.04	0.13	0.09	0.17	-0.09	2.849e-5	1.254e-3	(B) FLT3 non mutation
KCNJ5	11q24.3	0.10	0.21	0.11	0.22	-0.11	2.876e-5	1.261e-3	(B) FLT3 non mutation
ART4	12p12.3	0.28	0.68	0.41	0.80	-0.40	2.883e-5	1.261e-3	(B) FLT3 non mutation
IZUMO1	19q13.33	0.06	0.16	0.09	0.21	-0.10	2.890e-5	1.261e-3	(B) FLT3 non mutation
LCK	1p35.2	2.07	2.81	0.96	1.08	-0.74	2.897e-5	1.261e-3	(B) FLT3 non mutation
ADD2	2p13.3	1.24	2.16	1.14	1.49	-0.93	2.899e-5	1.261e-3	(B) FLT3 non mutation
TBCC	6p21.1	4.10	3.84	0.32	0.41	0.26	2.913e-5	1.265e-3	(A) FLT3 mutation
CTTNBP2	7q31.31	0.01	0.06	0.02	0.12	-0.05	2.921e-5	1.265e-3	(B) FLT3 non mutation
CDC42BPA	1q42.13	0.42	1.09	0.73	1.27	-0.67	2.948e-5	1.270e-3	(B) FLT3 non mutation
TSPO2	6p21.1	0.96	1.41	0.51	0.82	-0.45	2.950e-5	1.270e-3	(B) FLT3 non mutation
ORMDL2	12q13.2	3.92	3.67	0.33	0.35	0.25	2.951e-5	1.270e-3	(A) FLT3 mutation
RASGRF2	5q14.1	0.37	0.63	0.32	0.46	-0.27	2.987e-5	1.283e-3	(B) FLT3 non mutation
TJP1	15q13.1	0.07	0.21	0.14	0.29	-0.14	3.002e-5	1.284e-3	(B) FLT3 non mutation
PPA2	4q24	4.43	4.13	0.39	0.38	0.29	3.004e-5	1.284e-3	(A) FLT3 mutation
LDB2	4p15.32	0.12	0.29	0.16	0.35	-0.17	3.041e-5	1.296e-3	(B) FLT3 non mutation
KIAA1614	1q25.3	0.61	0.84	0.29	0.36	-0.23	3.057e-5	1.296e-3	(B) FLT3 non mutation
KIF21A	12q12	0.35	0.70	0.42	0.62	-0.35	3.061e-5	1.296e-3	(B) FLT3 non mutation
FMO2	1q24.3	0.19	0.50	0.35	0.57	-0.31	3.065e-5	1.296e-3	(B) FLT3 non mutation
OPRM1	6q25.2	0.04	0.07	0.04	0.07	-0.04	3.066e-5	1.296e-3	(B) FLT3 non mutation
CCR9	3p21.31	0.50	0.76	0.29	0.50	-0.27	3.075e-5	1.298e-3	(B) FLT3 non mutation
TNC	9q33.1	0.63	1.16	0.60	0.98	-0.53	3.096e-5	1.304e-3	(B) FLT3 non mutation
AHSP	16p11.2	2.97	4.67	2.28	2.30	-1.70	3.142e-5	1.320e-3	(B) FLT3 non mutation
PELI2	14q22.3	2.98	3.51	0.73	0.69	-0.54	3.181e-5	1.333e-3	(B) FLT3 non mutation
COL6A3	2q37.3	0.25	0.62	0.39	0.73	-0.37	3.229e-5	1.343e-3	(B) FLT3 non mutation
